A118    నీతి సూర్యుండ నిను బోలిన <br>
A119    స్తుతియించు ప్రియుడా - సదా యేసుని<br>
A120    నా ప్రాణ ప్రియుడా యేసురాజా<br>
A121    నాదు ప్రాణమా - నాదు ప్రాణమా<br>
A122    మా దేవా ! మా దేవా ! నీదు <br>
A123    జీవితమంత నీ ప్రేమగానం<br>
A124    దేవుని యందు - నిరీక్షణ నుంచి <br>
A125    పరిశుద్ధ పరిశుద్ధ పరిశుద్ధ ప్రభువా<br>
A126    చూచుచున్నాము నీవైపు<br>
A127    యేసు నీ నామామృతము మా-కెంతో <br>
A128    హల్లెలూయ- స్తుతి మహిమ <br>
A129    త్రాహిమాం క్రీస్తు నాథా<br>
A130    యేసయ్యా యేసయ్యా యేసయ్యా <br>
A131    యెహోవ గద్దె ముందట<br>
A132    స్తోత్రమే మా ప్రాణము<br>
A133    నీతిగల యెహోవ స్తుతి మీ<br>
A134    సన్నుతింతుమో ప్రభో<br>
A135    నూతన గీతము పాడెదను<br>
A136    ప్రతిక్షణం స్తుతియించెద<br>
A137    స్తుతి సింహాసనాశీనుడా<br>
A138    క్రొత్తయేడు మొదలుబెట్టెను<br>
A139    వందనం బొనర్తుమో ప్రభో - ప్రభో <br>
A140    ఘనదేవా మా ప్రభువా <br>
A141    స్తుతించెదను - నిన్ను నేను మనసారా<br>
A142    స్తుతియు మహిమా ఘనతా నీకే<br>
A143    దేవ సంస్తుతి చేయవే మనసా<br>
A144    యెహోవాను స్తుతించుడి<br>
A145    రాజులకు రాజైన యీ మన విభుని<br>
A146    యెహోవా మా తండ్రి గాఁడ<br>
A147    నీతో సమమెవరు?<br>
A148    యేసయ్య మన దేవుడు<br>
A149    క్రీస్తుని నామము - నిత్యము నిల్చున్‌<br>
A150    నన్ను గన్నయ్య రావె నా యేసు<br>
A151    దేవుడే నా కాశ్రయంబు<br>
A152    విశ్వాసమే విజయము - విను <br>
A153    ఎన్నడు నెడబాయ - నేకొలది <br>
A154    యేసువంటి ప్రియబంధుడు నాకిక<br>
A155    మా సర్వానిధీ నీవయ్యా<br>
A156    క్రీస్తే సర్వాధికారి - క్రీస్తే మోక్షాధికారి <br>
A157    జై జై యేసు రాజా జై జై <br>
A158    స్వచ్ఛంద సీయోను వాసి<br>
A159    విజయ గీతముల్‌ పాడరే - క్రీస్తుకు <br>
A160    యెహోవా నా మొఱ లాలించెను<br>
A161    నీ కన్న నిఁక వేరే - వేల్పులు లేరయ్యా <br>
A162    బహుగా ప్రార్థన చేయుడి<br>
A163    ఆత్మ దీపమును - వెలిగించు <br>
A164    ఇశ్రాయేలు సైన్యములకు<br>
A165    నీవు తోడైయున్న జాలు-యేసు <br>
A166    నిన్ను నేను విడువను దేవ<br>
A167    దాసుల ప్రార్థన<br>
A168    నా ప్రియ యేసు రాజా<br>
A169    పరవాసినినే జగమున ప్రభువా<br>
A170    ప్రార్థన వినెడి పావనుడా<br>
A171    నడిపించు నా నావ <br>
A172    నీ వాక్యమే నన్ను బ్రతికించెను <br>
A173    ప్రియ యేసు నిర్మించితివి<br>
A174    కనలేని కనులేలనయ్యా<br>
A175    ప్రభు యేసుని వదనములో<br>
A176    ఎంతజాలి-యేసువా <br>
A177    మార్గము జూపుము యింటికి<br>
A178    నాదు హృదయపు ద్వారము తెరచెదను<br>
A179    దయచేయుము పాప క్షమా<br>
A180    నీ చేతితో నన్ను పట్టుకో<br>
A181    నన్ను దిద్దుము చిన్న ప్రాయము<br>
A182    ఘోర పాపి-నో ప్రభో<br>
A183    ఆనందమానందమాయెను<br>
A184    ఆనందం మహానందం<br>
A185    ఆనంద యాత్రా<br>
A186    నీజల్దరు వృక్షపు నీడలలో <br>
A187    కాలము సమీపము<br>
A188    యౌవనుడా సంతోషపడుమా<br>
A189    యేసుక్రీస్తు నిన్ను-పిలిచెనుగా <br>
A190    యౌవనుడా, యౌవనకాలమున <br>
A191    ఓ సోదరా             ఓ సోదరీ            <br>
A192    యేసుతో ఠీవిగాను పోదమా<br>
A193    యెహోవా కొరకు-సహనముతో <br>
A194    నా కాపరియగు ప్రభుడేసు డుండగా<br>
A195    ప్రభువా నే నిన్ను నమ్మి<br>
A196    జీవనదిని నా హృదయములో<br>
A197    యేసుని కొరకై - యిల జీవించెద <br>
A198    నమ్మకమైన నా ప్రభు<br>
A199    ప్రభుని దర్శనమొంది సేవ<br>
A200    నేనును నా యింటివారును<br>
A201    నిండు మనస్సుతో నిన్నే<br>
A202    తనువు నాదిదిగో గై - కొనుమీ యో <br>
A203    యెహోవా నా కాపరి నాకు లేమి లేదు<br>
A204    నీ వాక్యము నా పాదములకు<br>
A205    నాదు జీవమాయనే నా సమస్తము<br>
A206    గాఢాంధకారములో<br>
A207    యెహోవా నా కాపరి<br>
A208    నే సాగెద యేసునితో<br>
A209    దేవుడు మీకు యెల్లప్పుడు<br>
A210    యేసుని ప్రేమను - నేమారకను<br>
A211    దేవుని ప్రేమ యిదిగో<br>
A212    శాశ్వతమైనది ప్రేమ<br>
A213    యేసూ నన్ను ప్రేమించినావు<br>
A214    నా యేసుని ప్రేమకన్నా<br>
A215    ఈలాటిదా యేసు ప్రేమ<br>
A216    నన్నెంతగానో ప్రేమించెను<br>
A217    ఆశ్చర్యమైన ప్రేమ-కల్వరిలోని ప్రేమ<br>
A218    ప్రేమామృత ధారల చిందిన మన<br>
A219    ప్రేమా యేసుని ప్రేమా<br>
A220    ప్రభు ప్రేమ తొలికేక<br>
A221    రండి సువార్త సునాదముతో<br>
A222    ఓ పాపి ప్రభు చెంతకు రా<br>
A223    రమ్మనుచున్నాడేసు రాజు<br>
A224    జాలమేలా జేసె దరూ<br>
A225    ప్రజలార వేగమె రారె<br>
A226    హృదయమనెడు తలుపు నొద్ద<br>
A227    పాపిగానే జీవింతువా<br>
A228    ఇదియే సమయంబు రండి<br>
A229    రండీ రండీ యేసుని యొద్దకు<br>
A230    తలుపులు తీయండి యేసుకు <br>
A231    యేది నీ యర్పణ ఏది సమర్పణ<br>
